Enzyme,Type,PFA,D229,D360,D384,D391,D75,D274,D34,D356,D368,D370
LOX,NE-PP,Total,0.652678410929,0.794824967946,0.619014632709,0.700077886363,0.757644897227,0.683275212324,0.760018636271,0.667352333109,0.72064393656,0.724660790315
LOX,NE-PP,AA,0.602373011422,0.838508515397,0.597029389292,0.673833655256,0.727466090868,0.463315491966,0.760296449246,0.743111692064,0.798017494084,0.918423538601
LOX,NE-PP,aLA,0.474538487413,0.583308931186,0.326208404178,0.331940642559,0.535815866626,0.588871052339,0.553669495756,0.389687951028,0.434809160305,0.457275721759
LOX,NE-PP,EPA,0.86524822695,0.930577223089,0.919343469943,0.921472037091,0.945713054718,0.952157323158,0.97537334865,0.980086372361,0.94188034188,0.967510578785
LOX,NE-PP,DHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOX,NE-PP,LA,0.69816606796,0.83819481052,0.691459359347,0.783930528623,0.785534540141,0.711301662885,0.806400282885,0.738205499276,0.769354109279,0.771179146686
CYP ,NE-PP,Total,0.251560052387,0.117300192719,0.238459303903,0.238072134437,0.180735276309,0.22520551576,0.153213334996,0.223902081825,0.179299103504,0.19183586384
CYP ,NE-PP,AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP ,NE-PP,aLA,0.305498578693,0.215695461201,0.393247510323,0.514335110215,0.371723624907,0.187548675239,0.245132301548,0.362066391281,0.345893129771,0.355279984499
CYP ,NE-PP,EPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP ,NE-PP,DHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP ,NE-PP,LA,0.257128615871,0.109090376618,0.217078876,0.190709046455,0.188732851693,0.255756854284,0.141295379538,0.205354558611,0.168701777467,0.176810525022
COX,NE-PP,Total,0.0130710562132,0.00948263481962,0.0172184125788,0.0117552148766,0.0126392286472,0.0221431121641,0.00410129207105,0.00982498816078,0.013217498172,0.00482196567891
COX,NE-PP,AA,0.300463386559,0.12902115947,0.351823552433,0.27886360784,0.123417119845,0.457293308621,0.13826923786,0.161999931203,0.155986955959,0.0463255372753
COX,NE-PP,aLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX,NE-PP,EPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX,NE-PP,DHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX,NE-PP,LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEH,NE-PP (CYP METABOLITES),Total,0.320952429563,0.652315638193,0.523956779499,0.206011924119,0.251161757757,0.302998137803,0.534656292383,0.441029583042,0.476760876822,0.406302021403
