Oxylipin,Class,Parent FA,Enzyme ,D229,D360,D384,D391,D75,D274,D34,D356,D368,D370
12-HpETE %-To-F,Alcohol Precursors,AA,LOX,0.0504,0.185,0.0313,0.128,0.234,0.0074,0.55,0.0379,0.00857,0.579
12-HpETE %-To-PP,Alcohol Precursors,AA,LOX,0.0149,0.0241,0.0479,0.00386,0.019,0.0277,0.0143,0.0198,0.0783,0.0378
15-HpETE %-To-F,Alcohol Precursors,AA,LOX,0.291,1.01,0.151,0.618,1.21,0.0405,2.97,0.229,0.0479,3.2
15-HpETE %-To-PP,Alcohol Precursors,AA,LOX,0.0446,0.145,0.184,0.0469,0.0912,0.106,0.0675,0.0925,0.358,0.246
13-HpODE %-To-F,Alcohol Precursors,LA,LOX,0.291,1.36,0.128,0.51,0.713,0.0791,1.95,0.15,0.109,2.17
13-HpODE %-To-PP,Alcohol Precursors,LA,LOX,0.0398,0.128,0.32,0.0533,0.0924,0.128,0.0789,0.14,0.545,0.232
9-HpODE %-To-F,Alcohol Precursors,LA,LOX,0.908,4.78,0.503,1.77,2.37,0.272,6.27,0.47,0.353,7.99
9-HpODE %-To-PP,Alcohol Precursors,LA,LOX,0.158,0.54,0.948,0.155,0.288,0.459,0.254,0.361,1.73,0.662
11-HETE-NE-F,Alcohols,AA,auto ,,0.0519,0.158,0.066,0.089,0.104,,0.0244,,0.156
11-HETE-To-F,Alcohols,AA,auto ,24.6,87,12,14.2,41.3,9.95,34.9,11.1,8.09,41.1
11-HETE-To-PP,Alcohols,AA,auto ,13.9,12.5,16.7,4.74,11.1,9.33,8.03,10.9,30.4,28.2
12-HETE-NE-F,Alcohols,AA,LOX,1.42,2.64,3.12,1.31,6.48,0.225,1.64,0.854,0.823,31.8
12-HETE-NE-PP,Alcohols,AA,LOX,1.05,4.52,4.86,1.73,1.33,0.611,0.938,2.56,5.61,10.6
12-HETE-To-F,Alcohols,AA,LOX,21.3,82.6,9.89,12,33.5,7.93,31.3,9.42,7.61,68.4
12-HETE-To-PP,Alcohols,AA,LOX,12.6,11.9,16.9,5.19,9.16,7.44,6.57,9.41,27.2,31.8
15-HETE-NE-F,Alcohols,AA,LOX,0.235,0.525,0.408,0.139,0.28,0.103,0.142,0.0938,0.0257,1
15-HETE-NE-PP,Alcohols,AA,LOX,0.0209,0.182,0.42,0.012,0.22,0.0598,0.188,0.285,0.097,0.208
15-HETE-To-F,Alcohols,AA,LOX,58.2,201,28.3,30.7,87.3,23.5,76.3,25.5,18.9,87.3
15-HETE-To-PP,Alcohols,AA,LOX,29.7,30,37.8,10.1,25.7,21.2,17.1,24.9,61.6,64.7
5-HETE-NE-F,Alcohols,AA,LOX,1.46,18.3,1.76,1.64,5.93,2.72,1.93,1.69,0.534,1.65
5-HETE-NE-PP,Alcohols,AA,LOX,0.837,1.09,1.06,0.446,0.98,0.933,0.816,1.39,1.02,0.918
5-HETE-To-F,Alcohols,AA,LOX,39.4,168,21.9,24,60.3,14.9,82.6,20.6,16.7,74.8
5-HETE-To-PP,Alcohols,AA,LOX,24.7,21.5,25.1,7.47,25.3,15.7,18.2,21.3,43.3,45.2
8-HETE-To-F,Alcohols,AA,auto ,14.7,63.7,6.76,9.6,26.9,6.57,24.5,7.15,4.92,26.5
8-HETE-To-PP,Alcohols,AA,auto ,9.01,8.75,10.1,2.26,7.73,5.02,3.76,6.69,17.5,17.7
9-HETE-To-F,Alcohols,AA,auto ,14.9,61.9,6.75,8.25,24.3,7.57,26.2,7.33,5.02,27.5
9-HETE-To-PP,Alcohols,AA,auto ,8.82,7.19,11.3,2.05,8.4,4.39,7.05,6.45,17.3,18.4
13-HOTE-NE-F,Alcohols,aLA,LOX,0.96,2.74,4.86,1.18,5.07,0.1,1.81,4.06,2.4,6.99
13-HOTE-NE-PP,Alcohols,aLA,LOX,6.33,8.63,10.3,4.19,2.07,6.13,9.34,6.63,5.87,10.2
13-HOTE-To-F,Alcohols,aLA,LOX,12.1,85.1,10.8,12.1,17.1,11.1,22.6,5.79,7.53,18.1
13-HOTE-To-PP,Alcohols,aLA,LOX,8.44,11.7,21.7,5.7,6.63,8.44,10.6,10.4,22.6,18.6
9-HOTE-NE-F,Alcohols,aLA,LOX,0.281,0.573,1.58,0.163,0.318,0.12,0.241,0.263,0.191,0.282
9-HOTE-NE-PP,Alcohols,aLA,LOX,0.865,1.33,3.13,0.418,0.379,1.28,0.641,1.2,1.25,1.6
9-HOTE-To-F,Alcohols,aLA,LOX,11.2,84.6,10.3,11.2,13.7,10.7,20.6,6.54,7.29,16
9-HOTE-To-PP,Alcohols,aLA,LOX,12.9,17.4,33.5,7.07,6.15,10.1,14.2,11.5,23.9,19.7
17-HDoHE-To-F,Alcohols,DHA,LOX,16.8,79.6,13.1,23.1,33.7,12,41,10.4,18,19.4
17-HDoHE-To-PP,Alcohols,DHA,LOX,12.2,8.76,4.09,2.11,15.7,8.29,14,4.29,57.5,8.31
12-HEPE-NE-F,Alcohols,EPA,LOX,0.172,0.429,0.21,0.28,0.897,0.022,1.21,0.328,0.369,4.82
12-HEPE-NE-PP,Alcohols,EPA,LOX,0.339,1.4,0.581,0.426,0.255,0.212,0.82,0.382,1.52,1.97
12-HEPE-To-F,Alcohols,EPA,LOX,1.68,11.8,0.854,1.57,3.68,2.11,13.3,0.755,1.43,6.29
12-HEPE-To-PP,Alcohols,EPA,LOX,1.08,1.73,1.32,0.845,1.19,1.84,2.76,0.802,4.32,3.06
15-HEPE-NE-F,Alcohols,EPA,LOX,0.392,0.25,0.481,0.295,0.17,0.337,0.385,0.687,0.152,0.298
15-HEPE-NE-PP,Alcohols,EPA,LOX,0.292,0.285,0.199,0.199,0.29,0.39,0.247,0.148,0.266,0.391
15-HEPE-To-F,Alcohols,EPA,LOX,2.69,16.4,1.83,2.13,4.91,2.71,14.1,1.23,2.33,4.77
15-HEPE-To-PP,Alcohols,EPA,LOX,1.66,2.31,1.21,0.841,4.24,1.95,6.8,1.37,4.54,2.66
5-HEPE-NE-F,Alcohols,EPA,LOX,1.06,7.75,0.491,0.895,7.5,0.948,4.21,1.15,0.618,0.435
5-HEPE-NE-PP,Alcohols,EPA,LOX,0.345,0.701,0.133,0.329,1.65,1.02,1.65,0.287,0.418,0.337
5-HEPE-To-F,Alcohols,EPA,LOX,3.91,26.8,2.69,4.3,9.9,5.03,34.7,2.09,3.21,6.53
5-HEPE-To-PP,Alcohols,EPA,LOX,2.46,3.02,2.52,1.2,3.56,3.31,8.6,1.79,6.74,4.21
9-HEPE-NE-F,Alcohols,EPA,auto ,0.0519,0.293,0.104,0.0677,0.173,0.0757,0.234,0.138,0.0794,0.282
