Type,pfa,D229,D360,D384,D391,D75,D274,D34,D356,D368,D370
VCAM-1 ,,-22,-21,-38,-29,-18,36,86,46,104,49
Epoxide To-PP sum,All,435.2,280.791,894.805,243.278,170.734,400.06,248.67,362.709,623.62,537.14
Epoxide To-F sum,All,485.64,1326.02,362.258,437.31,554.08,312.71,485.84,267.76,180.569,610.2
Epoxide To-PP-F sum,All,-50.44,-1045.229,532.547,-194.032,-383.346,87.35,-237.17,94.949,443.051,-73.06
Epoxide NE-PP sum,All,19.592,11.133,52.29,18.45,6.349,16.11,14.009,21.465,17.974,23.548
Epoxide NE-F sum,All,14.036,20.01,14.049,5.5653,7.9418,2.4817,6.159,35.79,13.032,5.979
Epoxide NE-PP-F sum,All,5.556,-8.877,38.241,12.8847,-1.5928,13.6283,7.85,-14.325,4.942,17.569
Diol To-PP sum,All,18.5062,31.2123,63.522,24.0814,19.159,10.1508,47.639,19.8741,27.885,30.4662
Diol To-F sum,All,8.1332,40.258,14.7801,8.3644,40.091,5.83642,30.319,9.6362,7.8798,18.083
Diol To-PP-F sum,All,10.373,-9.0457,48.7419,15.717,-20.932,4.31438,17.32,10.2379,20.0052,12.3832
Diol NE-PP sum,All,6.2881,7.26223,27.3977,3.80092,1.594626,4.8813,7.49,9.4667,8.5693,9.5676
Diol NE-F sum,All,0.79966,11.1125,16.79,1.00761,3.169,0.56725,1.8994,1.3466,0.729239,1.28183
Diol NE-PP-F sum,All,5.48844,-3.85027,10.6077,2.79331,-1.574374,4.31405,5.5906,8.1201,7.840061,8.28577
Epoxide To-PP sum,AA,45.7,22.38,50.6,17.62,18.85,36.07,15.34,34.67,54.5,55.5
Epoxide To-F sum,AA,64.2,140.6,38.36,50.9,75.2,30.29,61.32,35.51,15.47,88.1
Epoxide To-PP-F sum,AA,-18.5,-118.22,12.24,-33.28,-56.35,5.78,-45.98,-0.84,39.03,-32.6
Epoxide NE-PP sum,AA,0,0,0,0,0,0,0,0,0,0
Epoxide NE-F sum,AA,0,0,0,0,0,0,0,0,0,0
Epoxide NE-PP-F sum,AA,0,0,0,0,0,0,0,0,0,0
Diol To-PP sum,AA,4.7048,3.5683,5.455,2.7423,5.315,3.1836,3.927,4.716,6.377,6.476
Diol To-F sum,AA,5.378,19.807,8.378,5.003,11.535,2.7434,12.909,5.776,4.5617,10.735
Diol To-PP-F sum,AA,-0.6732,-16.2387,-2.923,-2.2607,-6.22,0.4402,-8.982,-1.06,1.8153,-4.259
Diol NE-PP sum,AA,0.3292,0.2265,0.5489,0.15453,0.536456,0.275,0.2751,0.5517,0.3907,0.4504
Diol NE-F sum,AA,0.57096,4.8825,1.24,0.55591,1.158,0.20692,0.6915,0.7754,0.40079,0.555
Diol NE-PP-F sum,AA,-0.24176,-4.656,-0.6911,-0.40138,-0.621544,0.06808,-0.4164,-0.2237,-0.01009,-0.1046
Epoxide To-PP sum,LA,294,186.9,584,153.2,117.4,279,143.1,231.3,431,345
Epoxide To-F sum,LA,355,943,264,298,368,222.4,294,188.7,137.2,415
