Oxylipin,Class,Parent FA,Enzyme ,D229,D360,D384,D391,D75,D274,D34,D356,D368,D370
11_12-DiHETrE-NE-F,Diols,AA,CYP ,0.035,0.127,0.237,0.0433,0.0243,0.00512,0.056,0.0266,0.0279,0.0399
11_12-DiHETrE-NE-PP,Diols,AA,CYP ,0.0313,0.0166,0.0922,0.0103,0.000566,0.0333,,0.0369,0.0246,0.0244
11_12-DiHETrE-To-F,Diols,AA,CYP ,0.226,0.951,0.318,0.235,1.14,0.125,1.18,0.242,0.187,0.877
11_12-DiHETrE-To-PP,Diols,AA,CYP ,0.198,0.15,0.303,0.0509,0.262,0.0818,0.35,0.205,0.269,0.435
14_15-DiHETrE-NE-F,Diols,AA,CYP ,0.00496,0.0445,0.225,0.00861,0.0308,0.012,0.0165,0.0164,0.00889,0.0146
14_15-DiHETrE-NE-PP,Diols,AA,CYP ,0.0132,0.00547,0.0727,0.00153,0.00189,0.0203,0.0121,0.0318,0.0123,0.015
14_15-DiHETrE-To-F,Diols,AA,CYP ,0.162,0.586,0.32,0.138,0.425,0.0784,0.449,0.134,0.0947,0.418
14_15-DiHETrE-To-PP,Diols,AA,CYP ,0.0868,0.0983,0.172,0.0414,0.123,0.0718,0.137,0.111,0.148,0.231
8_9-DiHETrE-NE-F,Diols,AA,CYP ,0.047,0.751,0.128,0.141,0.0329,0.0698,0.151,0.0724,0.186,0.0815
8_9-DiHETrE-NE-PP,Diols,AA,CYP ,0.0627,0.00643,0.145,0.0564,0.274,0.0514,0.162,0.14,0.0558,0.114
8_9-DiHETrE-To-F,Diols,AA,CYP ,1.35,6.27,3.24,1.63,3.38,1.09,3.57,2.07,1.89,3.41
8_9-DiHETrE-To-PP,Diols,AA,CYP ,1.71,1.06,1.83,1.34,1.96,1.46,1.3,1.47,1.75,1.76
11(12)-EpETrE-To-F,Epoxides,AA,CYP ,16.7,44.7,10.2,15.4,20.7,9.24,16.7,10.6,4.6,25
11(12)-EpETrE-To-PP,Epoxides,AA,CYP ,14.2,6.5,14.1,5.18,6.07,9.81,4.76,9.36,15.1,15.5
14(15)-EpETrE-To-F,Epoxides,AA,CYP ,32.9,71.9,18.4,23.2,38.9,14.3,34.8,17,7.35,47.7
14(15)-EpETrE-To-PP,Epoxides,AA,CYP ,19.7,11.8,24.5,7.83,9.43,18.2,7.09,16.7,28.1,26.7
8(9)-EpETrE-To-F,Epoxides,AA,CYP ,14.6,24,9.76,12.3,15.6,6.75,9.82,7.91,3.52,15.4
8(9)-EpETrE-To-PP,Epoxides,AA,CYP ,11.8,4.08,12,4.61,3.35,8.06,3.49,8.61,11.3,13.3
15_16-DiHODE-NE-F,Diols,aLA,CYP ,0.0937,3.18,8.77,0.143,0.931,0.305,0.715,0.274,0.179,0.215
15_16-DiHODE-NE-PP,Diols,aLA,CYP ,3.32,3.22,10.5,2.09,0.405,2.73,3.49,4.76,3.37,4.64
15_16-DiHODE-To-F,Diols,aLA,CYP ,0.271,3.7,2.04,0.725,4.76,0.927,4.52,1.24,0.554,0.94
15_16-DiHODE-To-PP,Diols,aLA,CYP ,2.34,7.7,11.9,6.94,4.27,1.54,11.5,3.79,3.89,4.01
9_10-DiHODE-NE-PP,Diols,aLA,CYP ,0.0151,0.212,1.05,0.044,0.0176,0.0834,0.137,0.228,0.221,0.197
9_10-DiHODE-To-F,Diols,aLA,CYP ,0.0251,0.559,0.108,0.0824,0.7,0.122,0.573,0.0785,0.0781,0.214
9_10-DiHODE-To-PP,Diols,aLA,CYP ,0.674,1.41,3.47,1.16,0.543,0.375,2.46,0.763,1.16,1.15
15(16)-EpODE-NE-F,Epoxides,aLA,CYP ,0.171,3.8,3.3,0.0353,1.97,0.589,3.77,13.8,0.573,1.51
15(16)-EpODE-NE-PP,Epoxides,aLA,CYP ,4.11,3.37,14.7,5.66,1.28,1.29,3.68,6.93,5.24,8.22
15(16)-EpODE-To-F,Epoxides,aLA,CYP ,24,100,22.7,34.2,53.5,22.1,45,16.5,9.33,48.7
15(16)-EpODE-To-PP,Epoxides,aLA,CYP ,61.3,47.6,182,46.6,17.1,47.5,60.7,65.4,71.6,92.6
9(10)-EpODE-To-F,Epoxides,aLA,CYP ,18.4,76.3,16.7,28.7,25.3,18.8,38.9,12.2,7.75,34.3
9(10)-EpODE-To-PP,Epoxides,aLA,CYP ,17.2,11.8,47.9,12.4,6.54,19.4,13.9,15.9,30.7,25.6
12_13-DiHOME-NE-F,Diols,LA,CYP ,0.0846,1.61,2.71,0.148,0.691,0.0243,0.166,0.17,0.0852,0.365
12_13-DiHOME-NE-PP,Diols,LA,CYP ,1.97,2.47,8.6,1.01,0.454,1.16,2.54,2.52,3.12,2.98
12_13-DiHOME-To-F,Diols,LA,CYP ,0.742,7.02,1.5,0.965,9.15,0.689,2.31,0.972,0.873,2.81
12_13-DiHOME-To-PP,Diols,LA,CYP ,5.02,9.62,19.5,6.76,3.71,2.31,13.9,4.79,7.23,8.8
9_10-DiHOME-NE-F,Diols,LA,CYP ,,0.926,3.11,0.0471,0.325,,0.0646,0.0831,0.000149,0.114
9_10-DiHOME-NE-PP,Diols,LA,CYP ,0.631,1.13,6.61,0.494,0.18,0.611,1.01,1.38,1.4,1.25
9_10-DiHOME-To-F,Diols,LA,CYP ,0.862,5.62,1.17,0.813,11.7,0.767,3.59,0.807,0.859,1.91
9_10-DiHOME-To-PP,Diols,LA,CYP ,4.63,7.67,22.6,5.96,4.09,1.97,14.3,4.53,7.94,8.71
12(13)-EpOME-NE-F,Epoxides,LA,CYP ,6.34,8.78,6.55,2.86,3.56,0.835,0.849,10.3,6.57,2.6
12(13)-EpOME-NE-PP,Epoxides,LA,CYP ,9.9,4.44,22.4,5.47,2.93,7.57,4.93,8.01,7.35,9.38
12(13)-EpOME-To-F,Epoxides,LA,CYP ,147,427,113,130,164,86.4,123,70.7,63.6,175
12(13)-EpOME-To-PP,Epoxides,LA,CYP ,121,82.9,249,62.8,52.5,117,62.6,88.3,194,136
9(10)-EpOME-NE-F,Epoxides,LA,CYP ,7.42,7.43,3.84,2.67,2.37,1.04,1.54,10.4,5.54,1.67
9(10)-EpOME-NE-PP,Epoxides,LA,CYP ,5.06,3.01,13.7,5.84,1.72,6.18,4.66,6.18,4.96,5
9(10)-EpOME-To-F,Epoxides,LA,CYP ,208,516,151,168,204,136,171,118,73.6,240
9(10)-EpOME-To-PP,Epoxides,LA,CYP ,173,104,335,90.4,64.9,162,80.5,143,237,209
VCAM-1,,,,-22,-21,-38,-29,-18,36,86,46,104,49
