Oxylipin,Class,Type,Parent FA,D229,D360,D384,D391,D75,D274,D34,D356,D368,D370
Label,,,,Anti,Anti,Anti,Anti,Anti,Pro,Pro,Pro,Pro,Pro
VCAM-1,,,,-40.52832479,-40.46084119,-41.31349947,-40.92853764,-40.23844877,5.169925001,6.426264755,5.523561956,6.700439718,5.614709844
11_12-DiHETrE-NE-F,Diols,11_12,AA,-4.836501251,-2.977099597,-2.077041035,-4.529489154,-5.362899842,-7.609639711,-4.158429356,-5.232429916,-5.163591042,-4.647467431
11_12-DiHETrE-NE-PP,Diols,11_12,AA,-4.997693512,-5.912672876,-3.439089437,-6.601211664,-10.78684784,-4.908333994,-13.70880676,-4.760235359,-5.345197841,-5.356975008
11_12-DiHETrE-To-F,Diols,11_12,AA,-2.145605322,-0.072482754,-1.652901329,-2.089267338,0.189033824,-2.999999999,0.23878686,-2.046921047,-2.418889824,-0.189351252
11_12-DiHETrE-To-PP,Diols,11_12,AA,-2.336427664,-2.736965593,-1.722610301,-4.296190526,-1.932361283,-3.611755344,-1.514573173,-2.286304185,-1.894321922,-1.200912694
1112-EpETE-To-F,Epoxides,11_12,EPA,1.23878686,2.929790998,-0.399730246,1.021479727,1.682573297,1.077242999,3.084064265,0.014355293,-0.195946441,0.632268216
1112-EpETE-To-PP,Epoxides,11_12,EPA,0.23878686,-0.284545873,-0.242976753,-1.746615764,-0.680382066,0.839959587,0.659924558,-0.45600928,1.310340121,0.263034406
1112-EpETrE-To-F,Epoxides,11_12,AA,4.061776198,5.482202926,3.350497247,3.944858446,4.371558863,3.207892852,4.061776198,3.40599236,2.201633861,4.64385619
1112-EpETrE-To-PP,Epoxides,11_12,AA,3.827819025,2.700439718,3.817623258,2.372952098,2.601696516,3.294253136,2.250961574,3.22650853,3.916476644,3.95419631
12_13-DiHOME-NE-F,Diols,12_13,LA,-3.563198524,0.687060688,1.438292852,-2.756330918,-0.533242384,-5.362899842,-2.590744853,-2.556393348,-3.553002757,-1.454031631
12_13-DiHOME-NE-PP,Diols,12_13,LA,0.97819563,1.304511042,3.10433666,0.014355293,-1.139235797,0.214124805,1.344828497,1.333423734,1.641546029,1.575312331
12_13-DiHOME-To-F,Diols,12_13,LA,-0.430508908,2.811471031,0.584962501,-0.051399152,3.193771743,-0.537424112,1.207892852,-0.040971781,-0.195946441,1.49057013
12_13-DiHOME-To-PP,Diols,12_13,LA,2.327687364,3.266036894,4.285402219,2.757023247,1.891419187,1.207892852,3.797012978,2.260025656,2.853995647,3.137503524
1213-EpODE-NE-F,Epoxides,12_13,aLA,-3.251538765,-13.70880676,-1.477944251,-13.70880676,-4.580353236,-5.820106766,-13.70880676,0.367371066,-1.518701058,-2.329159664
1213-EpODE-NE-PP,Epoxides,12_13,aLA,-0.937878288,-1.675765438,0.575312331,0.565597176,-1.254977851,0.097610797,-0.43635373,-1.535331733,-1.23786383,-0.077041036
1213-EpODE-To-F,Epoxides,12_13,aLA,2.641546029,4.419538892,3.056583528,3.09423607,3.321928095,2.639232163,3.269033146,2.073820233,1.622930351,3.350497247
