Oxylipin,Name,Correlation,P-Value,Anti-Athero Mean,Pro-Athero Mean,Anti- St Dev,Pro -St Dev,Type,Parent Fatty Acid
NEFA-PP
Alcohol
11-HETE-NE-PP,,-0.4301035198413482,0.4275831157693385,0.7445999999999999,0.5471999999999999,0.44237404987182505,0.2885960845195236,alcohol,AA
12-HETE-NE-PP,,-0.286330486936033,0.6125518074194438,26.421999999999997,18.4,28.948791339190656,17.914379699001582,alcohol,AA
8-HETE-NE-PP,,-0.27780648396814706,0.6704231482852447,0.7622,0.6564,0.41922690753337866,0.3334056088310454,alcohol,AA
13-HOTE-NE-PP,,-0.16221453002145053,0.8718245738482104,4.156000000000001,3.9880000000000004,2.1071971905827906,0.6559878047646909,alcohol,ALA
12-HEPE-NE-PP,,-0.14818873414346592,0.8253741580248068,1.6423999999999999,1.4314,1.9221548584856532,0.7667625447294619,alcohol,EPA
13-HODE-NE-PP,,-0.14706196112683909,0.7738917139051272,45.3,42.419999999999995,20.221894075481647,6.293409250954595,alcohol,LA
15-HETE-NE-PP,,-0.020985612829202013,0.6838708113878098,1.754,2.042,0.7763246743470162,1.3122194938347775,alcohol,AA
9-HEPE-NE-PP,,0.0311520830280095,0.986152873270776,0.26108000000000003,0.2596,0.17343509448782274,0.051276700361860134,alcohol,EPA
9-HODE-NE-PP,,0.07554608592178289,0.8328092502804509,52.42,55,23.857954648292868,11.421689892480881,alcohol,LA
15-HEPE-NE-PP,,0.13451358483130982,0.6691662660816271,0.45359999999999995,0.507,0.25168293545649867,0.07348469228349508,alcohol,EPA
5-HETE-NE-PP,,0.16528217460762745,0.6613305421071851,4.212000000000001,4.712,1.7033261578452892,1.7724333555877365,alcohol,AA
9-HOTE-NE-PP,,0.2523267859705083,0.459508100409327,2.6420000000000003,3.14,1.0157607986135317,1.0109896141899777,alcohol,ALA
5-HEPE-NE-PP,,0.5059001599105051,0.34193004651153924,0.6626,1.2296,0.4187616267042624,1.182997379540631,alcohol,EPA
 
Ketone
13-KODE-NE-PP,,0.11005935768098676,0.959605471675866,4.834,4.75,2.57705840058001,2.5056436298883367,ketone,LA
5-KETE-NE-PP,,0.18596103519679769,0.7470777334198859,0.14082,0.15314,0.059960086724420214,0.05669213349310463,ketone,AA
9-KODE-NE-PP,,0.2081598306665916,0.7592484080084613,14.116,15.260000000000002,5.433569729008731,5.960956299118452,ketone,LA
 
Diol
9_10-DiHOME-NE-PP,,-0.2799308068999284,0.2232995941764782,11.142000000000001,9.174,2.5228594887547646,2.1786303036541144,Diols,LA
15_16-DiHODE-NE-PP,,-0.27621867050447224,0.3811380456511506,27.360000000000003,24.5,4.836631058908661,4.921381919745716,Diols,ALA
9_10-DiHODE-NE-PP,,-0.21456287761244874,0.5501390099744996,1.22,1.1384,0.2351595203260977,0.1739620648302383,diols,ALA
5_6-DiHETrE-NE-PP,,-0.11826650571576137,0.6070647029635643,1.3862,1.1102,0.9691889392682936,0.6248089307940466,Diols,AA
14_15-DiHETrE-NE-PP,,0.03465560968126617,0.9194030969032305,0.7742,0.787,0.2136040729948753,0.17175127364884368,Diols,AA
11_12-DiHETrE-NE-PP,,0.05185077229005133,0.968479172943872,0.7004,0.7052,0.22541583795288192,0.13600441169315017,Diols,AA
12_13-DiHOME-NE-PP,,0.08590063027559677,0.8423408807715147,9.322,8.966,1.7432498386634059,3.459997109825383,diols,LA
19_20-DiHDoPE-NE-PP,,0.15163193547984544,0.803187052115237,1.722,1.6214,0.48525251158546384,0.725840753884762,Diols,DHA 
14_15-DiHETE-NE-PP,,0.21795329814091133,0.851136438380932,0.7676000000000001,0.8110000000000002,0.3024091599141799,0.3990100249367171,Diols,EPA
8_9-DiHETrE-NE-PP,,0.4039884002703311,0.24368236358590478,0.48760000000000003,0.5978,0.12316574199021374,0.15220282520373926,Diols,AA
17_18-DiHETE-NE-PP,,0.4799638183696166,0.3077420783315689,3.896,5.258,2.2223703561737858,1.6964138645979072,Diols,EPA 
 
Triol
Sum-TriHOME-NE-PP,,-0.16436973217307965,0.697480166729988,15.080000000000002,14.028,3.3907226368430603,4.750675741407747,triols,LA
 
Epoxide
12(13)-EpOME-NE-PP,,-0.21634047028761266,0.5080259481768141,15.266,12.526,7.848323387832589,4.075019018360529,epoxide ,LA
12(13)-EpODE-NE-PP,,-0.05965099099994048,0.9724229784773946,0.7436,0.753,0.5577659007146276,0.1416280339480852,epoxide ,ALA
9(10)-EpOME-NE-PP,,-0.020619817324451742,0.8491603528287752,4.594,4.348000000000001,2.4747181657716077,1.310160295536388,epoxide ,LA
15(16)-EpODE-NE-PP,,0.28484589048356157,0.6048877578670755,9.99,11.57,4.615506472750308,4.662745972064103,epoxide ,ALA
 
Prostaglandin
F2-isoPs-NE-PP,,0.8022676116319531,0.3805983786553572,0.19950000000000004,1.7166666666666661,0.15453478572800364,2.3552565323831147,prostaglandin ,AA
6-keto PGF1a-NE-PP,,0.16578306973634044,0.6356590658754606,0.3914,0.438,0.09066862742977845,0.19120669444347388,prostaglandin ,AA
PGF2a-NE-PP,,0.4037121170825794,0.24393517862162492,1.954,4.5506,1.2501519907595242,4.178892413068323,prostaglandin ,AA
 
Alcohol Precursor
 
NEFA-F
Alcohol
5-HEPE-NE-F,,0.5533492769520232,0.16506498460681174,0.776,1.2690000000000001,0.40678925747861144,0.5959068719187588,alcohol ,EPA
9-HOTE-NE-F,,-0.24928936129302687,0.9383213139257349,1.2258,1.2418,0.3473013101040645,0.2831187030204818,alcohol,ALA
