Oxylipin,Name,Parent FA,Pathway,Correlation,P-Value,Anti-Athero Mean,Pro-Athero Mean,Anti- St Dev,Pro -St Dev
Nefa-PP
%-Σ SFA-NEFA-PP,,,,-0.6334254058508098,0.21916501066577526,39.73386235617374,37.631640354723054,1.527942715934909,3.1774773556057574
C20:2n6-NEFA-PP,,,,0.5525447459829619,0.025342014616268973,1.0244042730108867,1.706866947881466,0.30113626309140645,0.46785541991052004
C18:2n6-NEFA-PP,,,,0.5549507672688082,0.03453219158347624,56.88806421215274,91.82311746856345,15.875439595162955,26.293804935298628
Σ (n-6) PUFA-NEFA-PP,,,,0.5818257161843691,0.02907212193135019,68.45121613218873,107.71341183669537,17.55391843990165,28.03680961612508
C18:3n6-NEFA-PP,,,,0.6067722390729059,0.09710863890713187,0.6479373234326055,0.9425763661365227,0.2721139033985959,0.2212293132564853
C15:0-NEFA-PP,,,,0.633175915254253,0.03218952878170543,2.153253370978919,2.7471362715058962,0.1274650026118426,0.42314727229623944
C22:5n3/C20:5n3-NEFA-PP,,,,0.6343510593536308,0.14899997971446122,1.2189585059415688,1.7704927395839298,0.5840481669989249,0.5054393813542043
%-Σ MUFA-NEFA-PP,,,,0.6647728205272447,0.045017251384621225,31.650445148859124,34.461395578436225,2.0775827777062,1.6425629471055827
C18:1n9/C18:0-NEFA-PP,,,,0.6867339231993471,0.11598264654339348,2.8450641433623423,3.428233865848783,0.3703536456114939,0.640435982897302
%-C18:1n9-NEFA-PP,,,,0.6902565927370484,0.029689397999715803,27.318195982942445,29.87648091000661,1.8623205792073847,1.106878201890039
Total NEFA-PP,,,,0.6908472940333082,0.041120449057229634,12235.03304388004,25151.495974285343,1839.3360771919288,9825.031277643484
C20:4n6-NEFA-PP,,,,0.7423592985999724,0.019586389978307674,8.319655596218036,11.215842769509994,0.8482215865984889,2.0573911750782554
F2-isoPs-NE-PP,,,,0.8022676116319531,0.3805983786553572,0.19950000000000004,1.7166666666666661,0.15453478572800364,2.3552565323831147
C18:1n7-NEFA-PP,,,,0.4969907349451525,0.044713271898741205,5.403610409556828,8.289127138850972,1.8295630949799533,2.0042889004167774
C18:1n9-NEFA-PP,,,,0.5269794230357566,0.04808430754520614,96.80133270635379,153.24995495809813,38.518312681564176,38.05856374669487
 
Nefa-F
12_13-DiHOME-NE-F,,,,-0.5610297278635278,0.21857103052680193,4.234,2.846,1.6782967556424573,1.6084246951598327
5-HEPE-NE-F,,,,0.5533492769520232,0.16506498460681174,0.776,1.2690000000000001,0.40678925747861144,0.5959068719187588
PGF2a-NE-F,,,,0.5582250225510197,0.14124720985887174,1.3918,4.594,0.5978304107353526,3.909332423828907
Total NEFA-F,,,,0.5953397336171589,0.03692086417811508,10021.960344358582,17147.016558430998,1339.1965129773052,5269.83063610712
 
Tofa-PP
C18:0/C16:0-PP,,,,-0.7604998960783165,0.0285881269511294,0.28364724246033723,0.2357713113810261,0.03661127514033803,0.016535043478223207
%C19:0-PP,,,,-0.7292625630129864,0.006989436870110233,0.020609437028374273,0.01425596962178834,0.0031277770237910607,0.0024076158726952534
%C20:4n6 (AA)-PP,,,,-0.7016458166964837,0.023648681995964642,8.980466990696062,6.185566532650153,1.4090915149803924,1.7438409309069454
%C18:0-PP,,,,-0.563208403160184,0.04841369082824367,6.681206540708136,5.8721665788518544,0.5078902993500265,0.5887406654939865
12(13)-EpOME-To-PP,,,,0.5476120128696796,0.009394318379253003,161.2,228.2,18.99210362229526,39.79572841398932
%C16:1n7t-PP,,,,0.5499964024591923,0.02590190775494979,0.3194873193464045,0.43125074840716043,0.04887295986904141,0.07745999459543054
12(13)-EpODE-To-PP,,,,0.5503262987440418,0.028612137018917697,5.084,9.748,2.006098202980104,3.361141175255813
%Σ MUFA-PP,,,,0.5595026083326334,0.06911810618762142,22.322858877254,26.919308687688677,2.468390287122298,4.2307654335526195
%C18:1n9-PP,,,,0.5604075352817638,0.07250091690591633,18.933856287790977,22.994153091942163,2.208357043298265,3.795458625128966
%C18:3n3-PP,,,,0.560641561562179,0.06343228295241785,0.6614586487945944,0.8487698686664529,0.17474426899806994,0.08540082932828078
15(16)-EpODE-To-PP,,,,0.5634196507206016,0.04395807540553402,42.31999999999999,101.04,18.391764461301722,51.804468919196516
C20:1n9-PP,,,,0.5863834806398037,0.10677107418272877,18.53714390593949,35.684642298919655,5.696134862502938,18.451652457034527
C16:1n7-PP,,,,0.5959894039973442,0.07942580876661079,200.27436199625123,532.8449221806119,92.10807227982343,319.4578717990908
C14:0-PP,,,,0.605001627790799,0.14279061497375636,126.49148450158415,352.6181522476257,45.693069184251776,277.3980202400662
C18:2n6-PP,,,,0.6067592706994842,0.031185384175666592,3832.836687308825,7020.518497974335,634.7383667572118,2245.0668812753147
Σ (n-6) PUFA-PP,,,,0.610028490881101,0.025758324236608815,5155.359936161268,8880.986595817414,791.4799457815951,2490.596247118304
C18:0-PP,,,,0.6163347171631706,0.0957180328968181,812.6049627540119,1496.583993030919,94.32007288601206,705.4001843031638
C19:0-PP,,,,0.6248814850898043,0.05516325548062221,2.4794787351354257,3.4204691277385093,0.15565940625737487,0.7910490435705222
