Oxylipin,Name,Correlation,P-Value,Anti-Athero Mean,Pro-Athero Mean,Anti- St Dev,Pro -St Dev,Type,Parent Fatty Acid
NEFA-PP
Alcohol
9-HEPE-NE-PP,,-0.27802673092956864,0.1385572731932433,0.12347999999999999,0.07866000000000001,0.04316580822827255,0.04298590466652993,alcohol,EPA
13-HODE-NE-PP,,-0.19117086183531565,0.6260045832859507,17.011999999999997,13.99,11.63567660258741,6.514061712940703,alcohol,LA
9-HOTE-NE-PP,,-0.14837265730592095,0.9568815289181358,1.2244,1.1942,1.1332048799753731,0.3468475169292696,alcohol,ALA
9-HODE-NE-PP,,-0.14420590922078444,0.7627645823107693,21.253999999999998,17.919999999999998,22.342492698891053,6.6205739932425836,alcohol,LA
15-HETE-NE-PP,,-0.09522616259549375,0.9689205797270877,0.17098,0.16756,0.16758132950898796,0.09005036368610625,alcohol,AA
15-HEPE-NE-PP,,0.15706747657183734,0.5092439301476042,0.253,0.28840000000000005,0.04936091571273769,0.10341324866766348,alcohol,EPA
13-HOTE-NE-PP,,0.18104371131823283,0.46336250207602037,6.304,7.634,3.3081233350647605,1.992267552313191,alcohol,ALA
5-HEPE-NE-PP,,0.20157623581036146,0.7762950015749079,0.6315999999999999,0.7424000000000001,0.6050337180686709,0.5868929203866747,alcohol,EPA
12-HETE-NE-PP,,0.20287769825266055,0.5204372045609178,2.698,4.0638000000000005,1.838360682782353,4.155313249323088,alcohol,AA
5-HETE-NE-PP,,0.21248664379870455,0.4130058310548754,0.8826,1.0154,0.26299771862128385,0.22157572069159442,alcohol,AA
12-HEPE-NE-PP,,0.42430765389003794,0.36217724838376114,0.6002,0.9808,0.46308282196600636,0.7491202840665844,alcohol,EPA
 
Ketone
5-KETE-NE-PP,,-0.026008252157436504,0.5603049313624799,0.07153999999999999,0.053386,0.043699805491558,0.050536836861837714,ketone,AA
9-KODE-NE-PP,,0.07826516804563895,0.695101566772909,11.495999999999999,12.557999999999998,2.863403569181265,5.093556714124231,ketone,ALA
13-KODE-NE-PP,,0.33558353618122655,0.25118667254093285,3.6019999999999994,5.5,1.1160062723838073,3.2445261595493426,ketone,ALA
 
Diol
9_10-DiHOME-NE-PP,,-0.24882110432437646,0.6064800745337361,1.809,1.1301999999999999,2.7056049231179338,0.3292266696365896,Diols,LA
9_10-DiHODE-NE-PP,,-0.22304830544419,0.6617575218988673,0.26774000000000003,0.17328000000000002,0.4448298079041016,0.061702447277235235,Diols,ALA
14_15-DiHETrE-NE-PP,,-0.1662504629105118,0.9647147901244565,0.018958000000000003,0.018300000000000004,0.03040696910249359,0.008239842231499333,Diols,AA
11_12-DiHETrE-NE-PP,,-0.14200649312306313,0.9821481005002408,0.030193200000000003,0.029800000000000004,0.036415497129656214,0.006294441992742478,Diols,AA
15_16-DiHODE-NE-PP,,-0.12937081105646325,0.9536793130621051,3.907,3.7980000000000005,3.868128746564675,0.873653249292873,Diols,ALA
12_13-DiHOME-NE-PP,,-0.1273146442809881,0.7851404665858583,2.9008,2.464,3.2823319758976237,0.7755514167352159,Diols,LA
8_9-DiHETrE-NE-PP,,-0.017637953595578543,0.936467280507737,0.10890599999999999,0.10464000000000002,0.10482367423440188,0.04961842399754344,Diols,AA
5_6-DiHETrE-NE-PP,,0.2072472476714211,0.47811793846857387,0.20106000000000002,0.24180000000000001,0.06806444005499496,0.10176787312310304,Diols,AA
19_20-DiHDoPE-NE-PP,,0.3132354372205471,0.41188465238080196,0.025057999999999997,0.04092,0.0365805039604432,0.018456624826874504,Diols,DHA
 
Triol
Sum-TriHOME-NE-PP,,-0.23237454130774235,0.7001375521293729,1.4327999999999999,1.2706000000000002,0.8013171656716214,0.42782099060237755,Triols,LA
 
Epoxide
12(13)-EpODE-NE-PP,,-0.3200804281841403,0.6532137349083342,0.8448,0.7051999999999999,0.5890837801196023,0.31701372210047946,epoxide,ALA
12(13)-EpOME-NE-PP,,-0.2699914947873496,0.6827023771632141,9.027999999999999,7.448,7.913050612753591,1.6134807095221178,epoxide,LA
9(10)-EpOME-NE-PP,,-0.21743446669711866,0.8345658008578345,5.866,5.396,4.673540413861849,0.7276537638190291,epoxide,LA
15(16)-EpODE-NE-PP,,-0.18303272817735042,0.7819742152391498,5.824,5.072,5.206201110214624,2.7217402521181193,epoxide,ALA
 
Prostaglandin
F2-isoPs-NE-PP,,-0.37826270786197624,0.4312240314684969,0.6474250000000001,0.295475,0.7672154776636526,0.1740320923469768,prostaglandin ,AA
PGF2a-NE-PP,,-0.36592500567769903,0.4633046082183464,0.6505000000000001,0.35678,0.7733625712863705,0.3300963374531745,prostaglandin ,AA
6-keto PGF1a-NE-PP,,-0.1276759913834189,0.9897178649851281,0.3714,0.37039999999999995,0.11606377557188119,0.12172017088387618,prostaglandin ,AA
 
Alcohol Precursor
 
NEFA-F
Alcohol
9-HODE-NE-F,,-0.523381179058635,0.19928668288645554,9.406,3.4800000000000004,8.546890077683226,2.1502325455633864,alcohol ,LA
9-HOTE-NE-F,,-0.4787613956256867,0.23240439117849246,0.583,0.21939999999999998,0.5770480915833619,0.065140617129407,alcohol,ALA
5-HETE-NE-F,,-0.3579124641551783,0.27282404871794874,5.8180000000000005,1.7047999999999999,7.2237123420025515,0.783476355737683,alcohol,AA
13-HODE-NE-F,,-0.3011358468026737,0.5609126553657409,10.922,7.785999999999999,7.364863881973649,8.909519066706126,alcohol,LA
5-HEPE-NE-F,,-0.23148160182842503,0.28650558678482957,3.5391999999999997,1.4722,3.736593461965056,1.5556018770880937,alcohol,EPA
