Metabolite,PP-F D229,PP-F D360,PP-F D384,PP-F D391,PP-F D75,PP-F D274,PP-F D34,PP-F D356,PP-F D368,PP-F D370,PP/F D229,PP/F D360,PP/F D384,PP/F D391,PP/F D75,PP/F D274,PP/F D34,PP/F D356,PP/F D368,PP/F D370
%C22:0,-0.012,0.0224,-0.0275,0.0387,0.0953,0.016,0.0136,0.0037,0.0014,0.0163,0.733333333333,2.4,0.549180327869,2.6125,4.812,1.61538461538,1.75555555556,1.19473684211,1.08235294118,2.63
8(9)-EpETrE-To,-2.8,-19.92,2.24,-7.69,-12.25,1.31,-6.33,0.7,7.78,-2.1,0.808219178082,0.17,1.22950819672,0.374796747967,0.214743589744,1.19407407407,0.355397148676,1.08849557522,3.21022727273,0.863636363636
9_10-DiHOME-NE,,0.2,3.5,0.44,-0.15,,0.95,1.3,1.4,1.14,,1.21505376344,2.12540192926,9.8,0.545454545455,,16.8333333333,17.25,inf,11.3636363636
5-KETE-NE,0.1,-0.04,-0.04,-0.06,0.04,-0.07,0.1,0.02,0.01,-0.03,4.33333333333,0.6,0.636363636364,0.142857142857,1.8,0.0,6.0,1.28571428571,1.25,0.25
%C15:0,-0.018,0.064,-0.053,-0.009,-0.063,0.024,0.049,-0.01,-0.02,0.038,0.942857142857,1.34594594595,0.831746031746,0.973053892216,0.833333333333,1.10300429185,1.32450331126,0.95951417004,0.928315412186,1.20430107527
C18:1n9/C18:0-NEFA,0.03,0.52,-0.11,2.41,-0.63,0.44,-1.83,5.69,-7.41,1.16,1.00602409639,1.09829867675,0.971204188482,1.83103448276,0.88045540797,1.07495741056,0.678947368421,2.55890410959,0.403861625101,1.44106463878
12_13-DiHOME-NE,1.89,0.86,5.89,0.86,-0.24,1.14,2.37,2.35,3.03,2.61,24.625,1.53416149068,3.17343173432,6.73333333333,0.652173913043,58.0,14.9411764706,14.8235294118,34.6666666667,8.05405405405
6-keto PGF1a-NE,0.01,-0.27,-0.48,0.09,0.05,0.14,-0.07,0.19,-0.03,0.09,1.02380952381,0.614285714286,0.261538461538,1.31034482759,1.12820512821,1.5,0.75,1.95,0.911764705882,1.20454545455
9_10-e-DiHO-NE,0.34,-1.61,3.59,-0.11,-1.29,1.71,0.72,-0.17,1.82,0.61,1.16831683168,0.721934369603,1.54311649017,0.95564516129,0.632478632479,2.1958041958,1.30125523013,0.948795180723,1.81981981982,1.25957446809
9-HODE-NE,11.73,7.7,36.8,5.12,-2.11,12.99,8.35,10.81,25.53,14.52,4.38040345821,1.57462686567,2.63555555556,3.68062827225,0.633043478261,8.59649122807,5.77142857143,2.7186009539,11.7721518987,3.75
C18:4n3,0.7,-5.31,-4.4,-6.2,-0.63,-5.05,-0.28,-2.76,-0.76,8.91,1.35,0.208643815201,0.452736318408,0.190600522193,0.756756756757,0.383394383394,0.820512820513,0.286821705426,0.675213675214,4.54980079681
%-C18:0-NEFA,1.048,1.251,0.294,-1.713,1.418,0.388,2.823,-1.906,2.758,-0.01,1.20997796033,1.30188223938,1.04427710843,0.77654578659,1.29267285862,1.08290598291,1.61785948785,0.692828364222,1.9523480663,0.998368146214
6-keto PGF1a-To,0.08,-0.39,-0.3,0.04,0.09,0.06,0.08,-0.08,0.16,0.03,1.25,0.493506493506,0.508196721311,1.12903225806,1.21428571429,1.1935483871,1.25,0.794871794872,1.5,1.09375
9_10-EpO-To,-35.0,-63.0,57.5,-19.1,-33.6,-16.6,85.0,-0.2,150.9,84.0,0.755244755245,0.706976744186,1.62162162162,0.805696846389,0.707826086957,0.789340101523,1.7264957265,0.997267759563,4.20382165605,1.71794871795
9-HOTE-NE,0.59,0.76,1.55,0.26,0.06,1.16,0.4,0.94,1.06,1.32,3.10714285714,2.33333333333,1.98101265823,2.625,1.1875,10.6666666667,2.66666666667,4.61538461538,6.57894736842,5.71428571429
15_16-DiHODE-NE,3.2263,0.04,1.73,1.947,-0.526,2.425,2.775,4.486,3.191,4.425,35.4322305229,1.01257861635,1.19726339795,14.6153846154,0.435016111708,8.95081967213,4.88111888112,17.3722627737,18.8268156425,21.5813953488
11_12-DiHETrE-NE,-0.01,-0.11,-0.15,-0.03,-0.02,0.02,,0.01,-0.01,-0.02,0.75,0.153846153846,0.375,0.25,0.0,3.0,,1.33333333333,0.666666666667,0.5
10-Nitrooleate-NE,0.23,-0.46,-0.59,-0.04,-0.34,0.03,-0.38,-0.11,0.14,0.13,2.76923076923,0.163636363636,0.2625,0.636363636364,0.209302325581,1.14285714286,0.155555555556,0.214285714286,5.66666666667,3.6
Sum-TriHOME-NE,0.45,-1.36,-3.27,0.26,-1.56,0.2,0.0,0.56,-0.08,-0.12,1.66176470588,0.53264604811,0.457711442786,1.34210526316,0.309734513274,1.27397260274,1.0,1.39716312057,0.942857142857,0.90977443609
C22:5n3/C20:5n3,-0.15,-0.27,-0.32,0.97,0.22,-0.49,-0.15,-0.38,-0.13,-0.21,0.926829268293,0.82,0.820224719101,1.57738095238,1.29333333333,0.598360655738,0.7,0.768292682927,0.899224806202,0.873493975904
14_15-DiHETrE-NE,0.01,-0.03,-0.16,-0.01,-0.03,0.01,-0.01,0.01,0.0,0.01,inf,0.25,0.304347826087,0.0,0.0,2.0,0.5,1.5,1.0,2.0
9_10-e-DiHO-To,3.26,-10.09,18.9,4.26,-2.22,1.53,4.01,4.07,9.85,7.12,1.46306818182,0.492964824121,2.7027027027,1.68269230769,0.803539823009,1.25,1.48371531966,1.61387631976,2.48120300752,2.06586826347
C21:0,0.39,-0.92,-10.77,2.21,-0.11,-0.64,0.29,0.11,0.58,0.3,1.975,0.239669421488,0.0519366197183,8.12903225806,0.865853658537,0.288888888889,1.58,1.22448979592,5.14285714286,1.63829787234
19_20-DiHDoPE-NE,-0.01,-0.14,-0.42,0.0,-0.03,0.0,0.0,0.0,0.02,0.03,0.666666666667,0.0,0.176470588235,1.0,0.0,1.0,1.0,1.0,1.4,2.5
9(10)-EpOME-To,-35.0,-412.0,184.0,-77.6,-139.1,26.0,-90.5,25.0,163.4,-31.0,0.831730769231,0.201550387597,2.21854304636,0.538095238095,0.318137254902,1.19117647059,0.470760233918,1.21186440678,3.22010869565,0.870833333333
C20:0-NEFA,-0.01,0.01,-0.13,0.11,-0.33,0.16,0.07,0.07,0.03,-0.02,0.95652173913,1.05263157895,0.638888888889,1.61111111111,0.4,1.8,1.28,1.28,1.23076923077,0.894736842105
12(13)-EpOME-To,-26.0,-344.1,136.0,-67.2,-111.5,30.6,-60.4,17.6,130.4,-39.0,0.823129251701,0.194145199063,2.20353982301,0.483076923077,0.32012195122,1.35416666667,0.508943089431,1.24893917963,3.05031446541,0.777142857143
%C17:0,0.0314,0.078,-0.0588,0.027,-0.0375,0.0535,0.0717,0.0161,-0.023,0.0643,1.10096463023,1.32911392405,0.846475195822,1.09818181818,0.869791666667,1.23362445415,1.40738636364,1.0594095941,0.93009118541,1.32806122449
