Donor,Parent Fatty Acid,Epoxide To-PP sum,Epoxide To-F sum,Epoxide NE-PP sum,Epoxide NE-F sum,Diol To-PP sum,Diol To-F sum,Diol NE-PP sum,Diol NE-F sum
D229,All,418.2,461.6,19.07,13.931,14.6588,3.6381,6.0433,0.26526
D360,All,268.68,1259.9,10.82,20.01,27.7083,24.706,7.0605,6.6385
D384,All,864.5,341.76,50.8,13.69,59.775,8.696,27.0699,15.18
D391,All,229.82,411.8,16.97,5.5653,22.2523,4.5884,3.70623,0.53101
D75,All,159.89,522.0,5.93,7.9,14.958,31.255,1.333056,2.035
D274,All,381.97,293.59,15.04,2.464,7.8086,3.7984,4.6894,0.41622
D34,All,233.04,439.22,13.27,6.159,43.947,16.192,7.3511,1.1691
D356,All,347.27,252.91,21.12,34.5,15.659,5.5435,9.0967,0.6425
D368,All,587.8,169.75,17.55,12.683,22.387,4.5358,8.2037,0.487139
D370,All,518.7,586.1,22.6,5.78,25.096,10.579,9.2204,0.83
D229,AA,45.7,64.2,0.0,0.0,1.9948,1.738,0.1072,0.08696
D360,AA,22.38,140.6,0.0,0.0,1.3083,7.807,0.0285,0.9225
D384,AA,50.6,38.36,0.0,0.0,2.305,3.878,0.3099,0.59
D391,AA,17.62,50.9,0.0,0.0,1.4323,2.003,0.06823,0.19291
D75,AA,18.85,75.2,0.0,0.0,2.345,4.945,0.276456,0.088
D274,AA,36.07,30.29,0.0,0.0,1.6136,1.2934,0.105,0.08692
D34,AA,15.34,61.32,0.0,0.0,1.787,5.199,0.1741,0.2235
D356,AA,34.67,35.51,0.0,0.0,1.786,2.446,0.2087,0.1154
D368,AA,54.5,15.47,0.0,0.0,2.167,2.1717,0.0927,0.22279
D370,AA,55.5,88.1,0.0,0.0,2.426,4.705,0.1534,0.136
D229,LA,294.0,355.0,14.96,13.76,9.65,1.604,2.601,0.0846
D360,LA,186.9,943.0,7.45,16.21,17.29,12.64,3.6,2.536
D384,LA,584.0,264.0,36.1,10.39,42.1,2.67,15.21,5.82
D391,LA,153.2,298.0,11.31,5.53,12.72,1.778,1.504,0.1951
D75,LA,117.4,368.0,4.65,5.93,7.8,20.85,0.634,1.016
D274,LA,279.0,222.4,13.75,1.875,4.28,1.456,1.771,0.0243
D34,LA,143.1,294.0,9.59,2.389,28.2,5.9,3.55,0.2306
D356,LA,231.3,188.7,14.19,20.7,9.32,1.779,3.9,0.2531
D368,LA,431.0,137.2,12.31,12.11,15.17,1.732,4.52,0.085349
D370,LA,345.0,415.0,14.38,4.27,17.51,4.72,4.23,0.479
D229,DHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D360,DHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D384,DHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D391,DHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D75,DHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D274,DHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D34,DHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D356,DHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D368,DHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D370,DHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D229,aLA,78.5,42.4,4.11,0.171,3.014,0.2961,3.3351,0.0937
D360,aLA,59.4,176.3,3.37,3.8,9.11,4.259,3.432,3.18
D384,aLA,229.9,39.4,14.7,3.3,15.37,2.148,11.55,8.77
D391,aLA,59.0,62.9,5.66,0.0353,8.1,0.8074,2.134,0.143
D75,aLA,23.64,78.8,1.28,1.97,4.813,5.46,0.4226,0.931
D274,aLA,66.9,40.9,1.29,0.589,1.915,1.049,2.8134,0.305
D34,aLA,74.6,83.9,3.68,3.77,13.96,5.093,3.627,0.715
D356,aLA,81.3,28.7,6.93,13.8,4.553,1.3185,4.988,0.274
D368,aLA,102.3,17.08,5.24,0.573,5.05,0.6321,3.591,0.179
D370,aLA,118.2,83.0,8.22,1.51,5.16,1.154,4.837,0.215
D229,EPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D360,EPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D384,EPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D391,EPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D75,EPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D274,EPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D34,EPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D356,EPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D368,EPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D370,EPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
